Januari 1955,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Prins Willem I (1933),Koningin Emma (1933),Oosterschelde (1933),Zandkreek (1926),Noord-Beveland (1952),Zuidvliet (1914),Willemsdorp (1930),Dordrecht (1933)
01-01-1955,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zijpe-Anna Jacobapolder,Kruiningen-Perkpolder
02-01-1955,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zijpe-Anna Jacobapolder,Kruiningen-Perkpolder
03-01-1955,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zijpe-Anna Jacobapolder,Kruiningen-Perkpolder
04-01-1955,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zijpe-Anna Jacobapolder,Kruiningen-Perkpolder
05-01-1955,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zijpe-Anna Jacobapolder,Kruiningen-Perkpolder
06-01-1955,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zijpe-Anna Jacobapolder,Kruiningen-Perkpolder
07-01-1955,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Zijpe-Anna Jacobapolder,Kruiningen-Perkpolder
08-01-1955,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
09-01-1955,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
10-01-1955,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
11-01-1955,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
12-01-1955,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
13-01-1955,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Kruiningen-Perkpolder
