Juli 1955,Prins Bernhard (1950),Koningin Juliana (1949),Koningin Wilhelmina (1927),Prins Hendrik (1932),Prins Willem I (1933),Oosterschelde (1933),Koningin Emma (1933),Zandkreek (1926),Noord-Beveland (1952),Willemsdorp (1930),Dordrecht (1933),Gorinchem,Excelsior,Zuidvliet (1914)
01-07-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
02-07-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
03-07-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
04-07-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
05-07-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
06-07-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
07-07-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
08-07-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werf,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
09-07-1955,Vlissingen-Breskens,Werkplaats,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
10-07-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
11-07-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Werkplaats,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
12-07-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
13-07-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
14-07-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
15-07-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
16-07-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
17-07-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werf,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
18-07-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werf,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
19-07-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werf,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
20-07-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werf,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
21-07-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werf,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
22-07-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werf,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
23-07-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werf,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
24-07-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werf,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
25-07-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werf,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
26-07-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werf,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
27-07-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
28-07-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
29-07-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
30-07-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Werkplaats,Kortgene-Wolphaartsdijk,Kruiningen-Perkpolder,Werf,,,Veere-Kamperland
