Juni 1955,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Noord-Beveland (1952),Zandkreek (1926),Zuidvliet (1914),Willemsdorp (1930),Dordrecht (1933),Gorinchem,Excelsior
01-06-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,
02-06-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,
03-06-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,
04-06-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,
05-06-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,
06-06-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,
07-06-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,
08-06-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,
09-06-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,
10-06-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,
11-06-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Speciale vaart,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,
12-06-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Werf,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland
13-06-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Werf,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland
14-06-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Werf,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland
15-06-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Werf,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland
16-06-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Werf,Kruiningen-Perkpolder,Werf,Kortgene-Wolphaartsdijk,Veere-Kamperland
