Mei 1955,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Zuidvliet (1914),Zandkreek (1926),Willemsdorp (1930),Noord-Beveland (1952),Dordrecht (1933),Gorinchem,Excelsior
01-05-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,
02-05-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werf,Terneuzen-Hoedekenskerke,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,
03-05-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werf,Terneuzen-Hoedekenskerke,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,
04-05-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werf,Terneuzen-Hoedekenskerke,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,
05-05-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werf,Terneuzen-Hoedekenskerke,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,
06-05-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werf,Terneuzen-Hoedekenskerke,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,
07-05-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werf,Terneuzen-Hoedekenskerke,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,
08-05-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werf,Terneuzen-Hoedekenskerke,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,
09-05-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werf,Terneuzen-Hoedekenskerke,Veere-Kamperland,Zierikzee-Katseveer,Werkplaats,Werf,Kruiningen-Perkpolder,Kortgene-Wolphaartsdijk,
10-05-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Werf,Terneuzen-Hoedekenskerke,Veere-Kamperland,Zierikzee-Katseveer,Kruiningen-Perkpolder,Werf,Werkplaats,Kortgene-Wolphaartsdijk,
