Oktober 1955,Prins Bernhard (1950),Koningin Juliana (1949),Koningin Wilhelmina (1927),Prins Hendrik (1932),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Zandkreek (1926),Noord-Beveland (1952),Zuidvliet (1914),Dordrecht (1933),Willemsdorp (1930)
01-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werf,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
02-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werf,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
03-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werf,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
04-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
05-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
06-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
07-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
08-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
09-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
10-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
11-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Werf,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
12-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Werf,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
13-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Werf,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
14-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Werf,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
15-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Werf,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
16-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Werf,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
17-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Werf,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
18-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Werf,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
19-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Werf,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
20-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Werf,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
21-10-1955,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Werf,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
