September 1955,Prins Bernhard (1950),Koningin Juliana (1949),Koningin Emma (1933),Prins Willem I (1933),Prins Hendrik (1932),Willemsdorp (1930),Dordrecht (1933),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Noord-Beveland (1952),Koningin Wilhelmina (1927)
01-09-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Vlissingen-Breskens
02-09-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Vlissingen-Breskens
03-09-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Vlissingen-Breskens
04-09-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Vlissingen-Breskens
05-09-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Vlissingen-Breskens
06-09-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Vlissingen-Breskens
07-09-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Vlissingen-Breskens
08-09-1955,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Vlissingen-Breskens
09-09-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Vlissingen-Breskens
10-09-1955,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Zierikzee-Katseveer,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,Vlissingen-Breskens
